,Unnamed: 0,apartment_id,site_id,building_id,plan_id,floor_id,unit_id,area_id,unit_usage,entity_type,entity_subtype,geom,elevation,height,zoning,roomtype
0,0,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,619311.0,RESIDENTIAL,area,BATHROOM,"POLYGON ((-2.7337844078265210 4.0798074408321536, -1.7052982090605919 5.3055095631450140, -1.1780751324833911 4.8631168740409318, -1.2821478117691409 4.7390878846112354, 0.0038369733703361 3.6600185257011066, -0.9205765461098432 2.5583453928179463, -2.7337844078265210 4.0798074408321536))",0.0,2.6,Zone3,Bathroom
1,1,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,619303.0,RESIDENTIAL,area,LIVING_ROOM,"POLYGON ((5.8278988701887320 7.8168767234029719, 3.6491356898434804 5.2203278758145313, 0.4650811028512205 7.8920669054080630, 2.6438442831964721 10.4886157529965036, 5.8278988701887320 7.8168767234029719))",0.0,2.6,Zone2,Livingroom
2,2,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,619322.0,RESIDENTIAL,area,ROOM,"POLYGON ((6.7557107205191187 2.4133695948125862, 6.4227908015236199 2.6927225760532796, 5.8202647635534994 1.9746600056708310, 3.0866312434375009 4.2684508841740136, 5.9665156316025296 7.7005634500256637, 8.6936213101695969 5.4122500809585734, 8.2389880269739599 4.8704392323972723, 8.5784357875183890 4.5856087417204865, 6.7557107205191187 2.4133695948125862))",0.0,2.6,Zone1,Bedroom
3,3,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,619310.0,RESIDENTIAL,area,KITCHEN,"POLYGON ((3.5821200013910017 5.1404616883411176, 1.6005471607450650 2.7789151365142057, -1.5835074262471949 5.4506541661077375, 0.3980654143987419 7.8122007179346493, 3.5821200013910017 5.1404616883411176))",0.0,2.6,Zone2,Kitchen
4,4,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,619312.0,RESIDENTIAL,area,ROOM,"POLYGON ((3.0141380455489282 4.1820568551516661, 6.1329142170518764 1.5650929199190529, 3.8007807724960490 -1.2142354910394637, 0.6820046009931007 1.4027284441931496, 3.0141380455489282 4.1820568551516661))",0.0,2.6,Zone1,Bedroom
5,5,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,619314.0,RESIDENTIAL,area,BALCONY,"POLYGON ((6.6332818443542809 1.8931546286424794, 8.7914205621745385 4.4651241989214352, 8.7848927206256064 4.4706017083575258, 9.0958251832634787 4.8411565877603717, 9.6245803487269175 4.3974783234369195, 10.0353935564338173 4.8870664396067678, 11.3198462526870554 3.8092826559160127, 8.0127161285068507 -0.1320015507522818, 6.7347912738025446 0.9403047235023809, 7.1620370098177215 1.4494763643190254, 6.6332818443542809 1.8931546286424794))",0.0,2.6,Zone4,Balcony
6,6,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,619315.0,RESIDENTIAL,area,CORRIDOR,"POLYGON ((-0.8407103586364295 2.4913297043654694, 0.2425509344904198 3.7823102421676378, 1.5335314722925881 2.6990489490407921, 0.4502701791657389 1.4080684112386219, -0.8407103586364295 2.4913297043654694))",0.0,2.6,Zone2,Corridor
7,7,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((10.1119554317056775 4.9798650533446160, 9.6244570918934862 4.3988871554897262, 8.9455615708046246 4.9685481368432942, 9.4330599106168158 5.5495260346981841, 10.1119554317056775 4.9798650533446160))",0.0,2.6,Structure,Structure
8,8,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((-1.1111620360693770 4.8750196329874935, -1.1440270926859295 4.8358525836939048, -1.7250049905408211 5.3233509235060925, -1.6921399339242686 5.3625179727996812, -1.1111620360693770 4.8750196329874935))",0.0,2.6,Structure,Structure
9,9,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((3.9249330187591767 -1.3197170023780185, 3.8482478866538887 -1.4111067840630565, 0.5451600628946247 1.3605129905995064, 0.6218451949999126 1.4519027722845461, 3.9249330187591767 -1.3197170023780185))",0.0,2.6,Structure,Structure
10,10,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((0.0783282434461210 3.6544384242265533, 0.0509406962656609 3.6217992164818948, -1.2742111381674039 4.7337336320085779, -1.2468235909869438 4.7663728397532328, 0.0783282434461210 3.6544384242265533))",0.0,2.6,Structure,Structure
11,11,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((8.7900117301217335 4.4650009420879986, 6.9057484841060770 2.2194234492556131, 6.7229689207359993 2.3727937134661889, 8.6072321667516558 4.6183712062985780, 8.7900117301217335 4.4650009420879986))",0.0,2.6,Structure,Structure
12,12,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((0.5491355424740867 1.2459369901853652, 0.0096120474159840 0.6029579266608861, -0.1209447835623373 0.7125081153830906, 0.4185787114954600 1.3554871789072056, 0.5491355424740867 1.2459369901853652))",0.0,2.6,Structure,Structure
13,13,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((2.9997591397090204 10.9143342857298489, -2.8556984474733511 3.9360716699222333, -3.2930638312517519 4.3030648021403994, 2.5623937559306196 11.2813274179480150, 2.9997591397090204 10.9143342857298489))",0.0,2.6,Structure,Structure
14,14,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((6.0321224880021997 7.7803063806656478, 0.5272255047297190 1.2198256239896406, 0.3901408322021611 1.3348533221475716, 5.8950378154746419 7.8953340788235824, 6.0321224880021997 7.7803063806656478))",0.0,2.6,Structure,Structure
15,15,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((5.9444170098166254 1.8691784943322762, 5.8732093871474280 1.7843165541961667, 2.9356806901283203 4.2491958004375743, 3.0068883127975177 4.3340577405736855, 5.9444170098166254 1.8691784943322762))",0.0,2.6,Structure,Structure
16,16,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((9.4298300020316574 5.2407637542979888, 8.7560963413923414 4.4378392437794343, 8.2403968590267649 4.8705624892307053, 8.9141305196660809 5.6734869997492599, 9.4298300020316574 5.2407637542979888))",0.0,2.6,Structure,Structure
17,17,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((3.6818981544215701 5.1915314965812644, 3.6161680411884651 5.1131973979940906, 0.3848864744674465 7.8245645688596408, 0.4506165877005515 7.9028986674468182, 3.6818981544215701 5.1915314965812644))",0.0,2.6,Structure,Structure
18,18,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((6.9386135407226295 2.2585904985492036, 6.2648798800833099 1.4556659880306455, 5.7491803977177325 1.8883892334819148, 6.4229140583570512 2.6913137440004729, 6.9386135407226295 2.2585904985492036))",0.0,2.6,Structure,Structure
19,19,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((6.6407953913266020 1.3070956866404764, 3.6473476689056543 -2.2603563907976443, 3.2230379682246135 -1.9043182774522607, 6.2164856906460635 1.6631337999864577, 6.6407953913266020 1.3070956866404764))",0.0,2.6,Structure,Structure
20,20,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((1.6398374668720859 2.7446412478448483, 1.5741073536389809 2.6663071492576709, -1.6571742130820386 5.3776743201232247, -1.5914440998489336 5.4560084187104021, 1.6398374668720859 2.7446412478448483))",0.0,2.6,Structure,Structure
21,21,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((9.5200225149785993 5.4543077100589432, 9.1585068921965274 5.0234701678294744, 2.2389948503292949 10.8296301700870163, 2.6005104731113668 11.2604677123164851, 9.5200225149785993 5.4543077100589432))",0.0,2.6,Structure,Structure
22,22,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((3.8198100073605898 -1.4317406408226905, 3.7431248752553010 -1.5231304225077302, 0.4400370514960370 1.2484893521548326, 0.5167221836013258 1.3398791338398741, 3.8198100073605898 -1.4317406408226905))",0.0,2.6,Structure,Structure
23,23,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((0.5548389007820758 1.3190194282083443, 0.4343336931880506 1.1754069141318535, -2.9013933383158701 3.9744142359748782, -2.7808881307218449 4.1180267500513690, 0.5548389007820758 1.3190194282083443))",0.0,2.6,Structure,Structure
24,24,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((-1.1176898776183091 4.8804971424235841, -1.2546276135206096 4.7173011037002990, -1.2807389797163360 4.7392111414446685, -1.1438012438140355 4.9024071801679536, -1.1176898776183091 4.8804971424235841))",0.0,2.6,Structure,Structure
25,25,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((0.2972027720179060 3.8489974897097579, -0.8859392661779699 2.4389837151405853, -0.9642733647651456 2.5047138283736903, 0.2188686734307304 3.9147276029428593, 0.2972027720179060 3.8489974897097579))",0.0,2.6,Structure,Structure
26,26,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,separator,WALL,"POLYGON ((7.1606281777649148 1.4493531074855923, 6.6676523285166329 0.8618473680817722, 6.0605630644660167 1.3712557456383294, 6.5535389137142985 1.9587614850421495, 7.1606281777649148 1.4493531074855923))",0.0,2.6,Structure,Structure
27,27,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,DOOR,"POLYGON ((7.0417781996565374 2.3722573898247017, 6.8498596581179552 2.5332961672458065, 7.4414306772158945 3.2383030545303928, 7.6333492187544767 3.0772642771092880, 7.0417781996565374 2.3722573898247017))",0.0,2.0,Door,Door
28,28,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,WINDOW,"POLYGON ((3.4506633294099043 9.7945649669820707, 3.8302547333310830 10.2469443863230136, 5.2533241909981179 9.0528473292549538, 4.8737327870769391 8.6004679099140073, 3.4506633294099043 9.7945649669820707))",0.5,1.9,Window,Window
29,29,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,WINDOW,"POLYGON ((7.6826468036793027 3.1360148510496693, 7.4907282621407205 3.2970536284707759, 8.5205000361260232 4.5242878396698725, 8.7124185776646055 4.3632490622487641, 7.6826468036793027 3.1360148510496693))",0.5,1.9,Window,Window
30,30,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,ENTRANCE_DOOR,"POLYGON ((-0.7110512080647871 2.1303807525960448, -0.5845207400910608 2.2811738923763603, 0.1074304640956623 1.7005578921506039, -0.0191000038780640 1.5497647523702920, -0.7110512080647871 2.1303807525960448))",0.0,2.0,Entrance Door,Entrance Door
31,31,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,DOOR,"POLYGON ((0.2473122663750900 3.7762832123196741, 0.3163288852698471 3.8585340158362076, 1.6284250366050479 2.7575546191817129, 1.5594084177102907 2.6753038156651794, 0.2473122663750900 3.7762832123196741))",0.0,2.0,Door,Door
32,32,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,DOOR,"POLYGON ((0.3832432216366204 7.8226062163949610, 0.4522598405313811 7.9048570199115016, 3.6574300410566734 5.2153998867903173, 3.5884134221619126 5.1331490832737767, 0.3832432216366204 7.8226062163949610))",0.0,2.0,Door,Door
33,33,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,WINDOW,"POLYGON ((-1.1850789537430106 5.9048328309429774, -1.6443126067103293 6.2901756197720520, -0.5214231723114633 7.6283831373029809, -0.0621895193441446 7.2430403484739063, -1.1850789537430106 5.9048328309429774))",0.5,1.9,Window,Window
34,34,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,WINDOW,"POLYGON ((4.5736459888761551 -0.2899790068856092, 5.6728128014401378 1.0199569908478416, 6.1017976895867658 0.6599959294233795, 5.0026308770227832 -0.6499400683100713, 4.5736459888761551 -0.2899790068856092))",0.5,1.9,Window,Window
35,35,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,DOOR,"POLYGON ((0.7880955650392343 1.5237584843354650, 0.6441566588852981 1.6445375674012954, 1.1754750741862230 2.2777381976476345, 1.3194139803401592 2.1569591145818077, 0.7880955650392343 1.5237584843354650))",0.0,2.0,Door,Door
36,36,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,WINDOW,"POLYGON ((-2.8438871732144815 4.8605783205560851, -2.4768940409963154 5.2979437043344877, -2.0176603880289967 4.9126009155054131, -2.3846535202471628 4.4752355317270140, -2.8438871732144815 4.8605783205560851))",0.5,1.9,Window,Window
37,37,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,DOOR,"POLYGON ((-0.7634757061192676 2.5809529763862482, -0.8457265096358011 2.6499695952810072, -0.3801382075679793 3.2048361269401724, -0.2978874040514459 3.1358195080454134, -0.7634757061192676 2.5809529763862482))",0.0,2.0,Door,Door
38,38,3c3b1d6ca8b4b9092480b8c75f9eaa81,210,399,1054,1588,7300.0,,RESIDENTIAL,opening,DOOR,"POLYGON ((3.1872446980475386 4.3829530827673953, 3.0433057918936024 4.5037321658332257, 3.5746242071945291 5.1369327960795683, 3.7185631133484653 5.0161537130137379, 3.1872446980475386 4.3829530827673953))",0.0,2.0,Door,Door
